s
# Pick a controller to configure
# CONTROLLERS:
#   m                    Manual
#   t               Turbidostat
#   r         Turbidostat Ratio
#   g  Turbidostat Mix Gradient
#   c     Turbidostat Mix Cycle
# Pick a controller: t=Turbidostat
# Current settings:
# Pump on @ 40.950
# Pump off @ 0.000
# Pump A
# Hit return to leave a parameter unchanged
# Enter pump on (high) measurement(40.950): 6.1
# Enter pump off (low) measurement(0.000): 6.0
# Enter media pump (A): *
# (not updated)
# Current settings:
# Pump on @ 6.100
# Pump off @ 6.000
# Pump A
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
M	1586.2	 0.061	2
M	1586.7	 0.104	2
M	1587.2	 0.063	2
M	1587.7	 0.120	2
M	1588.2	 0.029	2
M	1588.7	 0.024	2
M	1589.2	 0.105	2
M	1589.7	 0.118	2
M	1590.2	 0.008	2
M	1590.7	 0.403	2
M	1591.2	 0.175	2
M	1591.7	 0.535	2
M	1592.3	 0.674	2
M	1592.8	 0.428	2
M	1593.3	 0.288	2
M	1593.8	 0.168	2
M	1594.3	 0.164	2
M	1594.8	 0.306	2
M	1595.3	 0.247	2
M	1595.8	 0.254	2
M	1596.3	 0.316	2
M	1596.8	 0.335	2
M	1597.3	 0.277	2
M	1597.8	 0.333	2
M	1598.3	 0.317	2
M	1598.8	 0.408	2
M	1599.3	 0.319	2
M	1599.8	 0.296	2
M	1600.3	 0.365	2
M	1600.8	 0.404	2
M	1601.3	 0.308	2
M	1601.8	 0.413	2
M	1602.3	 0.347	2
M	1602.8	 0.369	2
M	1603.3	 0.332	2
M	1603.8	 0.306	2
M	1604.3	 0.381	2
M	1604.8	 0.328	2
M	1605.3	 0.296	2
M	1605.8	 0.303	2
M	1606.3	 0.330	2
M	1606.8	 0.288	2
M	1607.3	 0.303	2
M	1607.8	 0.338	2
M	1608.3	 0.437	2
M	1608.8	 0.389	2
M	1609.3	 0.363	2
M	1609.8	 0.405	2
M	1610.3	 0.353	2
M	1610.8	 0.350	2
M	1611.3	 0.310	2
M	1611.8	 0.327	2
M	1612.3	 0.386	2
M	1612.8	 0.346	2
M	1613.3	 0.367	2
M	1613.8	 0.425	2
M	1614.3	 0.413	2
M	1614.8	 0.301	2
M	1615.3	 0.356	2
M	1615.8	 0.341	2
M	1616.3	 0.346	2
M	1616.8	 0.345	2
M	1617.4	 0.378	2
M	1617.9	 0.328	2
M	1618.4	 0.382	2
M	1618.9	 0.348	2
M	1619.4	 0.399	2
M	1619.9	 0.308	2
M	1620.4	 0.353	2
M	1620.9	 0.341	2
M	1621.4	 0.328	2
M	1621.9	 0.365	2
M	1622.4	 0.309	2
M	1622.9	 0.387	2
M	1623.4	 0.307	2
M	1623.9	 0.298	2
M	1624.4	 0.311	2
M	1624.9	 0.319	2
M	1625.4	 0.304	2
M	1625.9	 0.273	2
M	1626.4	 0.308	2
M	1626.9	 0.372	2
M	1627.4	 0.362	2
M	1627.9	 0.328	2
M	1628.4	 0.284	2
M	1628.9	 0.303	2
M	1629.4	 0.345	2
M	1629.9	 0.372	2
M	1630.4	 0.322	2
M	1630.9	 0.419	2
M	1631.4	 0.353	2
M	1631.9	 0.365	2
M	1632.4	 0.373	2
M	1632.9	 0.311	2
M	1633.4	 0.306	2
M	1633.9	 0.332	2
M	1634.4	 0.427	2
M	1634.9	 0.376	2
M	1635.4	 0.388	2
# band-dsp-teensy manual [acghmpsz] > a
# NOTE: Cells in around 1600s
# band-dsp-teensy manual [acghmpsz] > s
# Pick a controller to configure
# CONTROLLERS:
#   m                    Manual
#   t               Turbidostat
#   r         Turbidostat Ratio
#   g  Turbidostat Mix Gradient
#   c     Turbidostat Mix Cycle
# Pick a controller: t=Turbidostat
# Current settings:
# Pump on @ 6.100
# Pump off @ 6.000
# Pump A
# Hit return to leave a parameter unchanged
# Enter pump on (high) measurement(6.100): 5.1
# Enter pump off (low) measurement(6.000): 5.0
# Enter media pump (A): *
# (not updated)
# Current settings:
# Pump on @ 5.100
# Pump off @ 5.000
# Pump A
# band-dsp-teensy manual [acghmpsz] > s
# Pick a controller to configure
# CONTROLLERS:
#   m                    Manual
#   t               Turbidostat
#   r         Turbidostat Ratio
#   g  Turbidostat Mix Gradient
#   c     Turbidostat Mix Cycle
# Pick a controller: t=Turbidostat
# Current settings:
# Pump on @ 5.100
# Pump off @ 5.000
# Pump A
# Hit return to leave a parameter unchanged
# Enter pump on (high) measurement(5.100): 
# (not updated)
# Enter pump off (low) measurement(5.000): 
# (not updated)
# Enter media pump (A): *
# (not updated)
# Current settings:
# Pump on @ 5.100
# Pump off @ 5.000
# Pump A
# band-dsp-teensy manual [acghmpsz] > c
# Pick a controller to start:
# CONTROLLERS:
#   m                    Manual
#   t               Turbidostat
#   r         Turbidostat Ratio
#   g  Turbidostat Mix Gradient
#   c     Turbidostat Mix Cycle
# Pick a controller: t=Turbidostat
T	time.s	neph	gain	pumpon	pumptime.s
T	0	0.333	2	0	815.278
T	1	0.301	2	0	815.278
T	2	0.269	2	0	815.278
T	3	0.342	2	0	815.278
T	4	0.273	2	0	815.278
T	5	0.237	2	0	815.278
T	6	0.334	2	0	815.278
T	7	0.280	2	0	815.278
T	8	0.327	2	0	815.278
T	9	0.286	2	0	815.278
T	10	0.332	2	0	815.278
T	11	0.391	2	0	815.278
T	12	0.239	2	0	815.278
T	13	0.346	2	0	815.278
T	14	0.326	2	0	815.278
T	15	0.251	2	0	815.278
T	16	0.311	2	0	815.278
T	17	0.381	2	0	815.278
T	18	0.287	2	0	815.278
T	19	0.340	2	0	815.278
T	20	0.335	2	0	815.278
T	21	0.282	2	0	815.278
T	22	0.355	2	0	815.278
