101	86
104	100
107	117
110	102
113	119
116	98
119	117
122	123
125	131
128	136
131	127
134	163
137	162
140	162
143	192
146	186
149	219
152	191
155	221
158	231
161	245
164	234
167	227
170	267
173	323
176	287
179	322
182	330
185	357
188	361
191	365
194	389
197	415
200	399
203	374
206	428
209	380
212	402
215	390
218	435
221	445
224	431
227	430
230	425
233	411
236	390
239	414
242	384
245	383
248	384
251	374
254	350
257	346
260	297
263	294
266	256
269	254
272	259
275	256
278	223
281	189
284	230
287	186
290	159
293	156
296	161
299	145
302	122
305	127
308	105
311	109
314	76
317	96
320	98
323	91
326	74
329	71
332	53
335	53
338	50
341	46
344	50
347	42
350	34
353	25
356	29
359	44
362	31
365	19
368	21
371	32
374	26
377	22
380	30
383	20
386	10
389	13
392	19
395	15
398	15
401	16
404	11
407	14
410	17
413	18
416	18
419	11
422	13
425	8
428	13
431	11
434	15
437	13
440	14
443	4
446	12
449	5
452	8
455	4
458	6
461	6
464	4
467	3
470	9
473	8
476	8
479	7
482	6
485	7
488	5
491	7
494	10
497	13
500	8
503	7
506	7
509	10
512	12
515	8
518	5
521	5
524	9
527	8
530	7
533	2
536	9
539	7
542	4
545	2
548	10
551	5
554	3
557	5
560	5
563	7
566	3
569	5
575	9
578	3
581	4
584	3
587	5
590	5
593	4
596	6
599	2
602	3
605	2
608	4
611	4
614	1
617	4
620	4
623	2
626	1
629	2
632	2
635	8
641	2
644	2
647	1
650	1
653	1
656	1
659	1
662	1
668	3
671	1
677	1
680	2
689	2
692	2
707	1
710	1
713	2
716	1
719	1
728	1
734	1
737	1
740	2
743	1
746	1
755	1
761	1
764	1
767	2
773	1
782	2
785	1
791	1
800	2
809	1
821	1
830	2
836	1
842	1
869	1
899	1
902	1
1040	1
