"Part","Value","Device","Package","Description","DIGIKEY#","DIGIKEY2#","DIGIKEY3#","MANF","MANF#","MANF2","MANF2#","MANF3","MANF3#","MF","MPN","OC_FARNELL","OC_NEWARK",
"C1","1µF","C-US025-030X050","C025-030X050","CAPACITOR, American symbol","445-5318-ND","","","TDK Corporation","FK14X7R1C105K","","","","","","","","",
"C2","100nF","C-US025-025X050","C025-025X050","CAPACITOR, American symbol","BC1084CT-ND","","","Vishay BC Components","K104K15X7RF5TL2","","","","","","","","",
"C3","100nF","C-US025-025X050","C025-025X050","CAPACITOR, American symbol","BC1084CT-ND","","","Vishay BC Components","K104K15X7RF5TL2","","","","","","","","",
"C4","10µF","CPOL-USE2.5-5","E2,5-5","POLARIZED CAPACITOR, American symbol","478-8042-1-ND","","","AVX Corporation","TAP106K016SRW","","","","","","","","",
"C5","100n","C-US025-025X050","C025-025X050","CAPACITOR, American symbol","BC1084CT-ND","","","Vishay BC Components","K104K15X7RF5TL2","","","","","","","","",
"C6","3pF","C-US025-024X044","C025-024X044","CAPACITOR, American symbol","445-8377-ND","","","TDK Corporation","FK18C0G1H030C","","","","","","","","",
"C7","1.2nF","C-US025-025X050","C025-025X050","CAPACITOR, American symbol","BC1026CT-ND","","","Vishay BC Components","K122J15C0GF5TL2","","","","","","","","",
"C8","1.2nF","C-US025-025X050","C025-025X050","CAPACITOR, American symbol","BC1026CT-ND","","","Vishay BC Components","K122J15C0GF5TL2","","","","","","","","",
"C9","1.2nF","C-US025-025X050","C025-025X050","CAPACITOR, American symbol","BC1026CT-ND","","","Vishay BC Components","K122J15C0GF5TL2","","","","","","","","",
"C10","220µF","CPOL-USE3.5-8","E3,5-8","POLARIZED CAPACITOR, American symbol","P5166-ND","","","Panasonic Electronic Components","ECA-1VM221","","","","","","","","",
"C11","0.33µ","C-US025-050X050","C025-050X050","CAPACITOR, American symbol","445-5312-ND ","","","TDK Corporation","FK14X7R1H334K","","","","","","","","",
"C12","100nF","C-US025-025X050","C025-025X050","CAPACITOR, American symbol","BC1084CT-ND","","","Vishay BC Components","K104K15X7RF5TL2","","","","","","","","",
"C13","1µF","C-US025-030X050","C025-030X050","CAPACITOR, American symbol","445-5318-ND","","","TDK Corporation","FK14X7R1C105K","","","","","","","","",
"C14","22µ","C-US050-045X075","C050-045X075","CAPACITOR, American symbol","445-8455-ND","","","TDK Corporation","FK20X7R1C226M","","","","","","","","",
"C15","0.33µ","C-US025-050X050","C025-050X050","CAPACITOR, American symbol","445-5312-ND ","","","TDK Corporation","FK14X7R1H334K","","","","","","","","",
"C16","1uF","C-US025-025X050","C025-025X050","CAPACITOR, American symbol","445-5318-ND","","","TDK Corporation","FK14X7R1C105K","","","","","","","","",
"C17","1.2nF","C-US025-025X050","C025-025X050","CAPACITOR, American symbol","BC1026CT-ND","","","Vishay BC Components","K122J15C0GF5TL2","","","","","","","","",
"C18","100nF","C-US025-025X050","C025-025X050","CAPACITOR, American symbol","BC1084CT-ND","","","Vishay BC Components","K104K15X7RF5TL2","","","","","","","","",
"D$11","BPV10NF","BPV10NF","LED5MM","","751-1002-ND","","","Vishay Semiconductor Opto Division","BPV10NF","","","","","","","","",
"D1","","ZENER-DIODEF126-10","F126Z10","Z-Diode","SA12ALFCT-ND","","","Littelfuse Inc.","SA12A","","","","","","","","",
"D2","1N5817-T","1N5817-T","DO41-7.6","1.0A SCHOTTKY BARRIER RECTIFIER","1N5817FSCT-ND","","","Fairchild Semiconductor","1N5817","","","","","","","","",
"D3","1N4935","1N4004","DO41-10","DIODE","1N4935GOS-ND","","","ON Semiconductor","1N4935G","","","","","","","","",
