# band-dsp-teensy manual [acghmpsz] > g
# Current settings:
# Gain setting 2x (1)
# Hit return to leave a parameter unchanged
# Enter Nephelometer setting (1): 3
# Current settings:
# Gain setting 5x (3)
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
M	204.1	 1.921	5
M	204.6	 1.856	5
M	205.1	 1.933	5
M	205.6	 2.017	5
M	206.1	 1.959	5
M	206.6	 1.856	5
M	207.1	 1.638	5
M	207.6	 2.071	5
M	208.1	 1.732	5
M	208.6	 2.056	5
M	209.1	 2.128	5
M	209.6	 2.075	5
M	210.1	 2.116	5
M	210.6	 2.381	5
M	211.1	 1.813	5
M	211.6	 1.818	5
M	212.1	 1.833	5
M	212.7	 1.869	5
M	213.2	 2.044	5
M	213.7	 2.111	5
M	214.2	 2.128	5
M	214.7	 2.321	5
M	215.2	 2.023	5
M	215.7	 1.906	5
M	216.2	 1.784	5
M	216.7	 2.180	5
M	217.2	 2.126	5
M	217.7	 1.983	5
M	218.2	 1.957	5
M	218.7	 2.331	5
M	219.2	 2.065	5
M	219.7	 2.449	5
M	220.2	 2.260	5
M	220.7	 1.972	5
M	221.2	 2.157	5
M	221.7	 2.064	5
M	222.2	 2.038	5
M	222.7	 1.720	5
M	223.2	 2.216	5
M	223.7	 1.701	5
M	224.2	 1.928	5
M	224.7	 1.852	5
M	225.2	 1.848	5
M	225.7	 2.533	5
M	226.2	 1.881	5
M	226.7	 2.075	5
M	227.2	 2.229	5
M	227.7	 1.945	5
M	228.2	 1.847	5
M	228.7	 2.067	5
M	229.2	 2.099	5
M	229.7	 1.736	5
M	230.2	 1.859	5
M	230.7	 1.978	5
M	231.2	 1.980	5
M	231.7	 1.707	5
M	232.2	 1.765	5
M	232.7	 2.126	5
M	233.2	 2.141	5
M	233.7	 2.186	5
M	234.2	 1.699	5
M	234.7	 1.864	5
M	235.2	 1.924	5
M	235.7	 1.978	5
M	236.2	 1.750	5
M	236.7	 1.565	5
M	237.2	 1.826	5
M	237.8	 1.951	5
M	238.3	 1.898	5
M	238.8	 1.670	5
M	239.3	 1.978	5
M	239.8	 1.680	5
M	240.3	 1.930	5
M	240.8	 1.605	5
M	241.3	 1.865	5
M	241.8	 1.875	5
M	242.3	 1.956	5
M	242.8	 1.702	5
M	243.3	 1.717	5
M	243.8	 1.658	5
M	244.3	 1.832	5
M	244.8	 1.843	5
M	245.3	 1.524	5
M	245.8	 1.840	5
M	246.3	 1.936	5
M	246.8	 2.111	5
M	247.3	 2.112	5
M	247.8	 1.716	5
M	248.3	 1.700	5
M	248.8	 1.784	5
M	249.3	 1.946	5
M	249.8	 2.208	5
M	250.3	 2.161	5
M	250.8	 2.124	5
M	251.3	 1.855	5
M	251.8	 1.958	5
M	252.3	 1.830	5
M	252.8	 1.962	5
M	253.3	 1.989	5
M	253.8	 1.969	5
M	254.3	 1.879	5
M	254.8	 1.774	5
M	255.3	 2.047	5
M	255.8	 1.779	5
M	256.3	 1.821	5
M	256.8	 1.965	5
M	257.3	 1.962	5
M	257.8	 1.995	5
M	258.3	 1.965	5
M	258.8	 1.964	5
M	259.3	 2.221	5
M	259.8	 1.799	5
M	260.3	 2.258	5
M	260.8	 1.767	5
M	261.3	 2.163	5
M	261.8	 2.631	5
M	262.3	 2.214	5
M	262.9	 2.022	5
M	263.4	 2.228	5
M	263.9	 1.991	5
M	264.4	 1.761	5
M	264.9	 2.096	5
M	265.4	 2.165	5
M	265.9	 2.233	5
M	266.4	 2.059	5
M	266.9	 1.873	5
M	267.4	 2.014	5
M	267.9	 1.874	5
M	268.4	 2.106	5
M	268.9	 2.032	5
M	269.4	 2.053	5
M	269.9	 1.996	5
M	270.4	 1.747	5
M	270.9	 2.389	5
M	271.4	 2.290	5
M	271.9	 1.823	5
M	272.4	 2.060	5
M	272.9	 1.895	5
M	273.4	 2.055	5
M	273.9	 2.259	5
M	274.4	 1.854	5
M	274.9	 2.130	5
M	275.4	 1.883	5
M	275.9	 1.803	5
M	276.4	 1.941	5
M	276.9	 1.995	5
M	277.4	 1.960	5
M	277.9	 1.911	5
M	278.4	 1.993	5
M	278.9	 2.013	5
M	279.4	 2.163	5
M	279.9	 1.773	5
M	280.4	 1.971	5
M	280.9	 2.076	5
M	281.4	 2.011	5
M	281.9	 2.126	5
M	282.4	 2.022	5
M	282.9	 1.757	5
M	283.4	 1.896	5
M	283.9	 1.816	5
M	284.4	 1.770	5
M	284.9	 1.883	5
M	285.4	 1.752	5
M	285.9	 2.147	5
M	286.4	 2.158	5
M	286.9	 1.764	5
M	287.4	 1.809	5
M	288.0	 1.939	5
M	288.5	 1.783	5
M	289.0	 1.604	5
M	289.5	 1.645	5
M	290.0	 1.758	5
M	290.5	 1.821	5
M	291.0	 2.126	5
M	291.5	 2.041	5
M	292.0	 2.153	5
M	292.5	 2.058	5
M	293.0	 2.057	5
M	293.5	 1.692	5
M	294.0	 2.094	5
M	294.5	 1.839	5
M	295.0	 1.882	5
M	295.5	 1.782	5
M	296.0	 2.002	5
M	296.5	 1.771	5
M	297.0	 2.122	5
M	297.5	 2.061	5
M	298.0	 1.890	5
M	298.5	 1.757	5
M	299.0	 1.788	5
M	299.5	 1.850	5
M	300.0	 1.934	5
M	300.5	 1.881	5
M	301.0	 1.998	5
M	301.5	 1.745	5
M	302.0	 2.024	5
M	302.5	 2.061	5
M	303.0	 1.624	5
M	303.5	 2.018	5
M	304.0	 2.190	5
M	304.5	 1.999	5
M	305.0	 2.073	5
M	305.5	 2.801	5
M	306.0	 2.103	5
M	306.5	 2.191	5
M	307.0	 1.891	5
M	307.5	 1.929	5
M	308.0	 2.444	5
M	308.5	 2.236	5
M	309.0	 2.080	5
M	309.5	 2.098	5
M	310.0	 2.043	5
M	310.5	 2.112	5
M	311.0	 2.116	5
M	311.5	 1.990	5
M	312.0	 1.825	5
M	312.5	 1.972	5
M	313.1	 2.088	5
M	313.6	 2.076	5
M	314.1	 2.046	5
M	314.6	 2.189	5
M	315.1	 2.109	5
M	315.6	 2.164	5
M	316.1	 2.120	5
M	316.6	 2.024	5
M	317.1	 1.758	5
M	317.6	 2.128	5
M	318.1	 2.066	5
M	318.6	 1.901	5
M	319.1	 2.030	5
M	319.6	 1.901	5
M	320.1	 1.860	5
M	320.6	 1.778	5
M	321.1	 1.811	5
M	321.6	 1.859	5
M	322.1	 1.893	5
M	322.6	 1.725	5
M	323.1	 1.575	5
M	323.6	 1.657	5
M	324.1	 1.771	5
M	324.6	 1.893	5
M	325.1	 1.815	5
M	325.6	 2.161	5
M	326.1	 1.761	5
M	326.6	 2.021	5
M	327.1	 1.919	5
M	327.6	 1.905	5
M	328.1	 1.903	5
M	328.6	 1.707	5
M	329.1	 1.873	5
M	329.6	 1.966	5
M	330.1	 1.834	5
M	330.6	 1.875	5
M	331.1	 1.932	5
M	331.6	 1.891	5
M	332.1	 2.068	5
M	332.6	 2.012	5
M	333.1	 1.722	5
M	333.6	 1.867	5
M	334.1	 1.949	5
M	334.6	 1.763	5
M	335.1	 2.049	5
M	335.6	 1.707	5
M	336.1	 2.071	5
M	336.6	 1.652	5
M	337.1	 2.148	5
M	337.6	 1.573	5
M	338.2	 2.051	5
M	338.7	 2.065	5
M	339.2	 1.640	5
M	339.7	 1.724	5
M	340.2	 1.935	5
M	340.7	 1.929	5
M	341.2	 1.972	5
M	341.7	 1.677	5
M	342.2	 1.950	5
M	342.7	 2.089	5
M	343.2	 1.581	5
M	343.7	 1.873	5
M	344.2	 1.913	5
M	344.7	 1.696	5
M	345.2	 1.843	5
M	345.7	 1.718	5
M	346.2	 1.804	5
M	346.7	 2.035	5
M	347.2	 1.742	5
M	347.7	 1.819	5
M	348.2	 1.970	5
M	348.7	 1.885	5
M	349.2	 1.985	5
M	349.7	 1.864	5
M	350.2	 1.697	5
M	350.7	 1.956	5
M	351.2	 1.849	5
M	351.7	 1.770	5
M	352.2	 1.767	5
M	352.7	 2.084	5
M	353.2	 1.857	5
M	353.7	 1.867	5
M	354.2	 1.898	5
M	354.7	 1.705	5
M	355.2	 2.047	5
M	355.7	 1.858	5
M	356.2	 1.856	5
M	356.7	 1.967	5
M	357.2	 1.799	5
M	357.7	 1.684	5
M	358.2	 1.777	5
M	358.7	 1.973	5
M	359.2	 1.771	5
M	359.7	 1.604	5
M	360.2	 1.614	5
M	360.7	 1.762	5
M	361.2	 1.935	5
M	361.7	 1.788	5
M	362.2	 1.719	5
M	362.7	 2.107	5
M	363.3	 1.662	5
M	363.8	 1.885	5
M	364.3	 1.796	5
M	364.8	 1.724	5
M	365.3	 1.765	5
M	365.8	 1.799	5
M	366.3	 2.023	5
M	366.8	 1.723	5
M	367.3	 1.608	5
M	367.8	 1.703	5
M	368.3	 1.772	5
M	368.8	 1.792	5
M	369.3	 2.195	5
M	369.8	 1.862	5
M	370.3	 1.887	5
M	370.8	 1.864	5
M	371.3	 1.762	5
M	371.8	 1.893	5
M	372.3	 1.954	5
M	372.8	 1.662	5
M	373.3	 1.671	5
M	373.8	 1.595	5
M	374.3	 1.910	5
M	374.8	 2.004	5
M	375.3	 1.766	5
M	375.8	 1.844	5
M	376.3	 2.182	5
M	376.8	 1.716	5
M	377.3	 1.987	5
M	377.8	 1.629	5
M	378.3	 1.815	5
M	378.8	 1.766	5
M	379.3	 1.982	5
M	379.8	 1.687	5
M	380.3	 2.027	5
M	380.8	 1.929	5
M	381.3	 1.674	5
M	381.8	 1.927	5
M	382.3	 1.652	5
M	382.8	 1.945	5
M	383.3	 2.146	5
M	383.8	 2.000	5
M	384.3	 2.004	5
M	384.8	 2.013	5
M	385.3	 1.742	5
M	385.8	 1.758	5
M	386.3	 1.769	5
M	386.8	 1.773	5
M	387.3	 2.058	5
M	387.8	 1.680	5
M	388.4	 1.759	5
M	388.9	 1.877	5
M	389.4	 2.128	5
M	389.9	 1.808	5
M	390.4	 1.835	5
M	390.9	 1.906	5
M	391.4	 1.807	5
M	391.9	 1.715	5
M	392.4	 1.977	5
M	392.9	 1.824	5
M	393.4	 1.861	5
M	393.9	 1.689	5
M	394.4	 1.864	5
M	394.9	 1.840	5
M	395.4	 1.645	5
M	395.9	 1.936	5
M	396.4	 1.779	5
M	396.9	 1.863	5
M	397.4	 1.590	5
M	397.9	 1.930	5
M	398.4	 1.856	5
M	398.9	 1.818	5
M	399.4	 1.816	5
