m
M	time.s	neph	gain
M	2063.1	 6.291	5
M	2063.6	 5.975	5
M	2064.1	 6.361	5
M	2064.6	 6.248	5
M	2065.1	 6.118	5
M	2065.6	 6.212	5
M	2066.1	 6.024	5
M	2066.6	 6.091	5
M	2067.1	 6.180	5
M	2067.6	 6.447	5
M	2068.1	 6.389	5
M	2068.6	 6.373	5
M	2069.1	 6.059	5
M	2069.6	 6.233	5
M	2070.1	 5.984	5
M	2070.6	 6.032	5
M	2071.1	 6.265	5
M	2071.6	 6.226	5
M	2072.1	 6.014	5
M	2072.6	 6.165	5
M	2073.1	 6.417	5
M	2073.6	 6.402	5
M	2074.1	 6.461	5
M	2074.6	 6.678	5
M	2075.1	 6.569	5
M	2075.6	 6.100	5
M	2076.1	 6.180	5
M	2076.6	 6.255	5
M	2077.1	 6.319	5
M	2077.6	 6.320	5
M	2078.1	 6.379	5
M	2078.6	 6.285	5
M	2079.1	 6.324	5
M	2079.6	 6.337	5
M	2080.1	 6.649	5
M	2080.6	 6.310	5
M	2081.1	 6.211	5
M	2081.6	 6.330	5
M	2082.2	 6.539	5
M	2082.7	 6.403	5
M	2083.2	 6.232	5
M	2083.7	 6.359	5
M	2084.2	 6.467	5
M	2084.7	 6.183	5
M	2085.2	 6.589	5
M	2085.7	 6.328	5
M	2086.2	 6.138	5
M	2086.7	 6.001	5
M	2087.2	 6.625	5
M	2087.7	 6.498	5
M	2088.2	 6.518	5
M	2088.7	 6.571	5
M	2089.2	 6.363	5
M	2089.7	 6.122	5
M	2090.2	 6.114	5
M	2090.7	 6.298	5
M	2091.2	 6.305	5
M	2091.7	 6.505	5
M	2092.2	 6.346	5
M	2092.7	 6.492	5
M	2093.2	 6.506	5
M	2093.7	 6.670	5
M	2094.2	 6.414	5
M	2094.7	 6.572	5
M	2095.2	 6.714	5
M	2095.7	 6.363	5
M	2096.2	 6.481	5
M	2096.7	 6.439	5
M	2097.2	 6.167	5
M	2097.7	 6.414	5
M	2098.2	 6.593	5
M	2098.7	 6.312	5
M	2099.2	 6.515	5
M	2099.7	 6.494	5
M	2100.2	 6.892	5
M	2100.7	 6.978	5
M	2101.2	 7.073	5
M	2101.7	 7.304	5
M	2102.2	 7.149	5
M	2102.7	 7.185	5
M	2103.2	 6.921	5
M	2103.7	 6.849	5
M	2104.2	 7.198	5
M	2104.7	 6.771	5
M	2105.2	 6.830	5
M	2105.7	 7.118	5
M	2106.2	 6.703	5
M	2106.7	 6.808	5
M	2107.3	 6.759	5
M	2107.8	 6.786	5
M	2108.3	 6.678	5
M	2108.8	 6.602	5
M	2109.3	 6.630	5
M	2109.8	 7.045	5
M	2110.3	 6.772	5
M	2110.8	 6.956	5
M	2111.3	 7.210	5
M	2111.8	 6.755	5
M	2112.3	 6.684	5
M	2112.8	 7.068	5
M	2113.3	 6.793	5
M	2113.8	 6.969	5
M	2114.3	 7.057	5
M	2114.8	 7.093	5
M	2115.3	 6.932	5
M	2115.8	 6.951	5
M	2116.3	 7.178	5
M	2116.8	 7.050	5
M	2117.3	 7.045	5
M	2117.8	 6.959	5
M	2118.3	 7.119	5
M	2118.8	 7.285	5
M	2119.3	 6.758	5
M	2119.8	 6.941	5
M	2120.3	 6.958	5
M	2120.8	 7.214	5
M	2121.3	 7.075	5
M	2121.8	 6.962	5
M	2122.3	 7.109	5
M	2122.8	 6.791	5
M	2123.3	 7.033	5
M	2123.8	 7.240	5
M	2124.3	 7.356	5
M	2124.8	 7.090	5
M	2125.3	 7.344	5
M	2125.8	 6.934	5
M	2126.3	 7.002	5
M	2126.8	 6.921	5
M	2127.3	 6.933	5
M	2127.8	 7.289	5
M	2128.3	 7.198	5
M	2128.8	 7.233	5
M	2129.3	 7.143	5
M	2129.8	 7.210	5
M	2130.3	 7.139	5
M	2130.8	 7.244	5
M	2131.3	 7.303	5
M	2131.8	 6.841	5
M	2132.4	 6.741	5
# band-dsp-teensy manual [acghmpsz] > 
